,Unnamed: 0,gain_cs,x,y,gain_na,gain_finished
133,133,0.0,11.0,1.0,2075.0,0.0
134,134,0.0,11.0,2.0,0.0,0.0
135,135,2727.0,11.0,3.0,2105.0,0.24275760909424277
136,136,2718.0,11.0,4.0,2105.0,0.24356144223693893
137,137,2731.0,11.0,5.0,2105.0,0.24240205053094105
138,138,2741.0,11.0,6.0,2115.0,0.24151769427216344
139,139,2737.0,11.0,7.0,2105.0,0.24187066130800147
140,140,0.0,11.0,8.0,2115.0,0.0
141,141,2730.0,11.0,9.0,2105.0,0.2424908424908425
142,142,2735.0,11.0,10.0,2115.0,0.2420475319926874
143,143,2742.0,11.0,11.0,2115.0,0.2414296134208607
